trip_id,time,speed,Number_of_trips
NORMAL_3_Swargate To Pune Station_Up-1430_0,0.200277779,19.977573424285712,122.0
NORMAL_103_Katraj To Kothrud Depot_Up-0855_0,0.200555554,36.70284541428571,243.0
NORMAL_7A_Hadapsar Gadital To Uruli Kanchan_Up-0905_0,0.200833332,46.91023219666667,56.0
NORMAL_106_Dhayari Maruti Mandir to Kothrud Depot_Down-0840_0,0.200833333,31.926725393125,47.0
NORMAL_293_Kapurhoal To Swargate_Down-0750_0,0.20111111,23.84611757514286,7.0
NORMAL_43_Dange Chowk To Katraj Via Chandani Chowk_Down-0830_0,0.20111111,39.169217339,30.0
NORMAL_152_Dhanori To MNP / KamalPark Via Lohagaon_Down-0900_0,0.20111111099999998,36.07917436166667,38.0
NORMAL_71_Kothrud Depot To Sukhsagarnagar_Up-0900_0,0.201111111,35.993101308285716,202.0
NORMAL_132_Ma Na Pa To Shubham Society Nagar Road_UP-0850_0,0.201111111,27.816624436250002,144.0
NORMAL_121_Ma Na Pa To Bhosari Terminal_Up-1335_0,0.20111111199999998,35.39690086444445,158.0
NORMAL_14_Kesnand Phata To Dhayari Maruti Mandir_Down-0855_0,0.201111112,37.026831958,94.0
NORMAL_163_Kharadi Gaon (Dhole Patil Collage) To Pune Station_Down-0845_0,0.201388888,29.70401560818182,63.0
NORMAL_121_Bhosari Terminal To Ma Na Pa_Down-0905_0,0.20138888900000002,33.485113219,57.0
NORMAL_322_Ma Na Pa River Side To Akurdi Railway Station_Up-1440_0,0.201666665,37.17849072692308,548.0
NORMAL_12_Upper Depot To Bhakti Shakti_Up-0900_0,0.201666665,30.326897528125002,140.0
NORMAL_203P_Pune Station To Shewalwadi_Down-0905_0,0.201666667,25.9838100875,27.0
NORMAL_78_NDA 10 No Gate Bus Stand To Marketyard_Down-0855_0,0.201666667,29.534423800833334,75.0
NORMAL_123_Bhakti Shakti To Ma Na Pa_Down-0855_0,0.201944442,35.44670123454545,123.0
NORMAL_376_Katraj To Bhakti Shakti_Up-0755_0,0.201944444,32.50096526625,63.0
NORMAL_315_Pune station To Bhosari via vishrantwadi_Up-0850_0,0.201944444,38.995079633529414,107.0
NORMAL_179_Swargate To Vadachiwadi_Up-0835_0,0.201944445,28.639851821249998,9.0
NORMAL_355_Chikhali To Dange Chowk_Down-0845_0,0.201944445,32.759540519285714,91.0
NORMAL_148_Pimplegurav To Bhekhrainagar_Down-0835_0,0.201944445,21.606870614600002,71.0
NORMAL_165_Wadgaonsheri To Ma Na Pa_Down-0845_0,0.201944445,22.185269456125,228.0
NORMAL_151_Pune Station To Alandi_Up-0830_0,0.20222222,40.639791733125,134.0
NORMAL_132_Shubham Society Nagar Road To Ma Na Pa_Down-0855_0,0.202222222,33.61872833222222,179.0
NORMAL_319_Vadgaon Mawal To Alandi_Down-0815_0,0.202222222,38.19477302,26.0
NORMAL_VJR4_Vishrantwadi To Kothrud Depot_Down-0840_0,0.202222223,30.682656826000002,234.0
NORMAL_119_Ma Na Pa To Alandi_Up-1445_0,0.202222224,24.734756733125,328.0
NORMAL_42_Bhakti Shakti To Katraj_Down-1240_0,0.2025,22.34483668525,363.0
NORMAL_14_Kesnand Phata To Dhayari Maruti Mandir_Down-0815_0,0.2025,39.276249624500004,145.0
NORMAL_VJR4_Kothrud Depot To Vishrantwadi_Up-0850_0,0.20277777800000002,27.513431466363638,156.0
NORMAL_115P_Pune Station to Hinjawadi Phase 3_Up-0800_0,0.203055554,37.202013852499995,138.0
NORMAL_115P_Hinjawadi Phase 3 to Pune Station_Down-0830_0,0.203055554,36.10054404333333,100.0
NORMAL_360_Alandi To Mhalungegaon Via Balewadi_Up-0800_0,0.203055555,37.43768268071428,18.0
NORMAL_175_Ma Na Pa To Hadapsar Gadital_Up-0905_0,0.203333332,28.556508989999998,50.0
NORMAL_71_Sukhsagarnagar To Kothrud Depot_Down-0850_0,0.203333332,26.529295910615385,130.0
NORMAL_322_Ma Na Pa River Side To Akurdi Railway Station_Up-1355_0,0.203333333,36.324757985,574.0
NORMAL_11_Marketyard To Pimplegurav_Up-1305_0,0.203333333,26.080199118571432,90.0
NORMAL_331_Rahatnigaon To Bhosari_Down-0900_0,0.20361111,29.917063241428572,30.0
NORMAL_41_Sangvi To Upper Depot_Down-0835_0,0.20361111,31.47175325621429,65.0
NORMAL_315_Pune station To Bhosari via vishrantwadi_Up-0830_0,0.20361111199999998,39.73151828538461,63.0
NORMAL_46_Lohgaon To Swargate Via Dhanori_Down-1400_0,0.203611112,38.19276149461538,130.0
NORMAL_29_Alandi To Swargate_Down-0835_0,0.203888888,35.99521669153846,76.0
NORMAL_168_Ma Na Pa To Keshavnagar_Up-1445_0,0.20388888900000002,13.329830417499998,87.0
NORMAL_149_Bhakti Shakti To Shewalwadi_Down-1215_0,0.204166667,29.30775253325,250.0
NORMAL_130_Shivajinagar To Yewalewadi_Down-0845_0,0.204444444,29.39478503272727,203.0
NORMAL_127_Vadgaon Mawal to Swargate_Down-0735_0,0.204444444,28.9429240675,180.0
